[14] 15975 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 928, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1334609212, rootCoord*minSegmentSizeToEnableIndex: 1004} 538.158929555997 1450.7872909319995 214.24670492100995 46.67516358623519 0.85683 1691
[15] 17072 {index_type: FLAT, nlist: 128, nprobe: 8, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 340, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 19665, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 991} 512.3083988080034 530.7729009890027 542.529054033992 18.43219257225891 0.99977 1097
[16] 18287 {index_type: IVF_FLAT, nlist: 1, nprobe: 1, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1725, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 1431, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1033} 546.6995370140066 695.1854430179956 493.0441483290051 20.282159384492008 0.9997199999999999 1214
[17] 19374 {index_type: IVF_FLAT, nlist: 1022, nprobe: 102, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 331, dataCoord*segment*sealProportion: 0.2, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 1346, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 837} 545.9525835950044 982.8752042359993 69.07156922800641 144.7773680512431 0.99875 1087
[18] 20452 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1958, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 988} 524.5715776449942 619.9196063079871 424.1187811909913 23.57830033350197 0.9616100000000001 1077
[19] 21616 {index_type: IVF_PQ, nlist: 750, nprobe: 97, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 254, dataCoord*segment*sealProportion: 0.22, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 9716, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 822} 522.5066017290083 1119.7321504680003 15.072723245000816 663.4501169731693 0.10297 1163
[20] 23199 {index_type: HNSW, nlist: 128, nprobe: 8, m: 6, nbits: 8, M: 32, efConstruction: 255, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 710, dataCoord*segment*sealProportion: 0.18, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12053, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 974} 519.8144154450129 1519.6888491900027 34.82396019800217 287.15860985200914 0.99959 1583
[21] 24222 {index_type: SCANN, nlist: 1261, nprobe: 189, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1279, dataCoord*segment*sealProportion: 0.2, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 11876, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 944} 530.1578560500056 978.6808625470003 13.746657826006413 727.4495463967719 0.9902699999999999 1022
[22] 25542 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 15218, dataNode*segment*insertBufSize: 3920230281, rootCoord*minSegmentSizeToEnableIndex: 220} 546.5215211350005 1274.879661635001 14.905056627001613 670.9132511368161 0.9568800000000001 1319
[23] 26439 {index_type: IVF_FLAT, nlist: 629, nprobe: 56, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 747, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 11988, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1091} 528.344297247997 813.9878760830034 55.44057494899607 180.37330978619445 0.9975299999999999 897
