[14] 2395 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 183, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 21208, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1104} 71.04965107497992 192.71537372400053 10.091101207013708 990.9721243356088 0.74963 225
[15] 2545 {index_type: FLAT, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1939, dataCoord*segment*sealProportion: 0.13, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13350, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1043} 59.811484670965 69.10933137498796 50.3150001099566 198.74788786935025 0.99998 149
[16] 2700 {index_type: IVF_FLAT, nlist: 439, nprobe: 109, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 399, dataCoord*segment*sealProportion: 0.18, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12849, dataNode*segment*insertBufSize: 582121062, rootCoord*minSegmentSizeToEnableIndex: 1028} 65.56224355194718 105.86430984298931 21.082001679053064 474.3382602960293 0.9837600000000001 155
[17] 2853 {index_type: IVF_FLAT, nlist: 1488, nprobe: 29, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 623, dataCoord*segment*sealProportion: 0.17, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 8567, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1060} 62.58072931901552 120.13657142902957 7.640419708972331 1308.8286221052433 0.86387 152
[18] 2984 {index_type: IVF_SQ8, nlist: 822, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1462, dataCoord*segment*sealProportion: 0.11, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 4119, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1137} 64.16109412204241 89.86733284202637 7.147080274997279 1399.172755199508 0.7534200000000001 131
[19] 3129 {index_type: IVF_PQ, nlist: 1143, nprobe: 22, m: 10, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1207, dataCoord*segment*sealProportion: 0.07, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 7047, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1153} 62.00683843600564 111.8451744900085 7.156163623963948 1397.3967792621252 0.21292000000000003 144
[20] 3321 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 260, ef: 502, reorder_k: 500} {dataCoord*segment*maxSize: 1418, dataCoord*segment*sealProportion: 0.15, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 20399, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1108} 65.62312457099324 157.926927212975 11.33169599098619 882.4804343457952 0.9897800000000001 192
[21] 3482 {index_type: SCANN, nlist: 1561, nprobe: 359, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 499} {dataCoord*segment*maxSize: 1505, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 26674, dataNode*segment*insertBufSize: 479417352, rootCoord*minSegmentSizeToEnableIndex: 1116} 72.42909232596867 128.81949203595286 8.427178998012096 1186.6367146537318 0.98761 161
[22] 3643 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2914, dataCoord*segment*sealProportion: 0.2, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 9676, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1092} 64.24916823202511 129.84321884298697 7.721389086043928 1295.1037551098884 0.6598200000000001 160
[23] 3812 {index_type: IVF_FLAT, nlist: 1984, nprobe: 19, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1332, dataCoord*segment*sealProportion: 0.07, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 4123, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1183} 66.45151038694894 136.97671881399583 8.106792485981714 1233.5334865536554 0.8116899999999999 169
