[14] 11800 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1483, dataCoord*segment*sealProportion: 0.19, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 17381, dataNode*segment*insertBufSize: 51768504, rootCoord*minSegmentSizeToEnableIndex: 792} 347.4904713029973 944.9147860002704 17.151072963606566 583.0539011302286 0.83973 989
[15] 12498 {index_type: FLAT, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 439, dataCoord*segment*sealProportion: 0.38, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 1015, dataNode*segment*insertBufSize: 136821948, rootCoord*minSegmentSizeToEnableIndex: 422} 375.55333016999066 392.481501983013 283.7264166660607 35.24522008738356 0.9998100000000001 698
[16] 13067 {index_type: IVF_FLAT, nlist: 176, nprobe: 9, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 442, dataCoord*segment*sealProportion: 0.39, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5020, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 775} 387.4058881360106 516.5777214579284 27.341802170034498 365.7403391997179 0.9733400000000001 568
[17] 14027 {index_type: IVF_FLAT, nlist: 1, nprobe: 1, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 820, dataCoord*segment*sealProportion: 0.35, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1165293519, rootCoord*minSegmentSizeToEnableIndex: 617} 379.9522804543376 497.820926153101 436.87533795600757 22.889824925313086 0.99984 959
[18] 14847 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 897, dataCoord*segment*sealProportion: 0.31, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 77315452, rootCoord*minSegmentSizeToEnableIndex: 635} 365.31500249309465 415.7202836163342 376.41318143485114 26.5665510487198 0.9627800000000001 820
[19] 15652 {index_type: IVF_PQ, nlist: 106, nprobe: 8, m: 8, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 7664, dataNode*segment*insertBufSize: 500611457, rootCoord*minSegmentSizeToEnableIndex: 646} 383.94390937080607 757.665679867845 17.103421858977526 584.6783224113153 0.06175 804
[20] 16845 {index_type: HNSW, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 32, efConstruction: 255, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 744, dataCoord*segment*sealProportion: 0.28, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 11204, dataNode*segment*insertBufSize: 92932315, rootCoord*minSegmentSizeToEnableIndex: 832} 374.73113475413993 1133.6830504201353 27.226470495108515 367.2896199232505 0.9996 1193
[21] 17542 {index_type: SCANN, nlist: 1, nprobe: 1, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 499} {dataCoord*segment*maxSize: 489, dataCoord*segment*sealProportion: 0.12, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 10751, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 381.03216876415536 645.766393286176 27.850053805857897 359.0657335784619 0.9942799999999999 697
[22] 18476 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 598, dataCoord*segment*sealProportion: 0.4, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5603, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 471} 387.9212738778442 889.5171101721935 12.523879290092736 798.4746393963329 0.8917300000000001 934
[23] 19114 {index_type: IVF_FLAT, nlist: 714, nprobe: 13, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 662, dataCoord*segment*sealProportion: 0.38, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 3529, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 856} 375.490218590945 578.651379656978 14.656108716037124 682.3093492106619 0.9602 637
[24] 19732 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 423, dataCoord*segment*sealProportion: 0.22, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 11341, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 378.88852791581303 452.8916627545841 140.7827973230742 71.03140575514767 0.96367 618
[25] 20423 {index_type: IVF_PQ, nlist: 844, nprobe: 16, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 601, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 16719, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 807} 373.24980736197904 650.6212154789828 9.786789139732718 1021.7855782139702 0.07869000000000001 691
[26] 21605 {index_type: HNSW, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 31, efConstruction: 274, ef: 549, reorder_k: 500} {dataCoord*segment*maxSize: 1334, dataCoord*segment*sealProportion: 0.44, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 26783, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 831} 363.98478793585673 1128.5013183848932 29.615978134796023 337.655570735681 0.99949 1182
[27] 22181 {index_type: IVF_SQ8, nlist: 1383, nprobe: 16, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1255, dataCoord*segment*sealProportion: 0.34, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 24613, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 955} 356.7342374678701 537.5759696378373 9.625282266642898 1038.9305708629151 0.92966 576
[28] 22899 {index_type: IVF_PQ, nlist: 1566, nprobe: 12, m: 8, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1193, dataCoord*segment*sealProportion: 0.28, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13910, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1068} 390.34033822920173 683.7375697032548 7.534016924910247 1327.313184940732 0.10695 717
[29] 23997 {index_type: HNSW, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 32, efConstruction: 239, ef: 453, reorder_k: 500} {dataCoord*segment*maxSize: 1582, dataCoord*segment*sealProportion: 0.33, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 19839, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2494} 388.5989038432017 1044.1376144792885 28.89622222725302 346.06599857086707 0.9994700000000001 1098
[30] 24654 {index_type: SCANN, nlist: 720, nprobe: 9, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 499} {dataCoord*segment*maxSize: 1103, dataCoord*segment*sealProportion: 0.41, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12286, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 655} 401.7382110049948 621.0127950510941 8.877016494050622 1126.504609595127 0.9272600000000001 657
