[1] 181 {index_type: FLAT, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 94.21558671398088 124.61769376404118 37.90261631505564 26.383402973762024 0.9996 181
[2] 404 {index_type: IVF_FLAT, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 91.23734083899762 197.98927021492273 5.5195486469892785 181.17423433625595 0.8891000000000001 222
[3] 588 {index_type: IVF_SQ8, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 93.16066414304078 161.68044686003122 3.155469420948066 316.91005888421773 0.8809000000000001 183
[4] 804 {index_type: IVF_PQ, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 86.31694794003852 194.8749320920324 2.266452449024655 441.21816913932605 0.1039 216
[5] 1132 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 90.74126000795513 301.6107108939905 6.626059165922925 150.91926814401043 0.998 328
[6] 1535 {index_type: SCANN, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 83.591433311929 380.7804662489798 2.420754839084111 413.0942893739493 0.8923000000000001 402
[7] 1836 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 85.90401871595532 279.89416190900374 2.1976340950932354 455.03480412537675 0.7597 301
[8] 2088 {index_type: FLAT, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9905, dataCoord*segment*sealProportion: 0.76, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 88183, dataNode*segment*insertBufSize: 7526631602, rootCoord*minSegmentSizeToEnableIndex: 7839} 78.50116317498032 190.1172828900162 42.06881130603142 23.770578938526594 0.9994000000000001 252
[9] 2327 {index_type: IVF_FLAT, nlist: 212, nprobe: 4, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 255, dataCoord*segment*sealProportion: 0.02, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 1548, dataNode*segment*insertBufSize: 36135732, rootCoord*minSegmentSizeToEnableIndex: 411} 86.59775863902178 214.9325968120247 3.1655220419634134 315.9036603579454 0.6869000000000001 238
[10] 2612 {index_type: IVF_SQ8, nlist: 7105, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1573624857, rootCoord*minSegmentSizeToEnableIndex: 100} 90.83242198999505 238.61631066305563 24.96506453596521 40.055974962907804 0.304 284
[11] 2840 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1033, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 1965, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1184} 89.54783668695018 203.76638353895396 2.447034227079712 408.6579537522035 0.08220000000000001 228
[12] 3274 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 38, efConstruction: 330, ef: 448, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.33, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 93.66056135797407 377.9143108279677 30.98531237791758 32.273355446713964 0.9993 434
[13] 3674 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 434, dataCoord*segment*sealProportion: 0.1, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 14976, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2065} 86.42985981295351 374.9958109629806 3.8319272570079193 260.9652879425559 0.9996 400
[14] 4022 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2074, dataCoord*segment*sealProportion: 0.17, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 86.04561341798399 291.10242791008204 36.87987417494878 27.115059971632583 0.713 348
[15] 4219 {index_type: FLAT, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.05, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1801} 95.76700821402483 129.76092775608413 44.66111460700631 22.390842879750313 0.9995 196
