[1] 60 {index_type: FLAT, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 8.007527648005635 15.60112907900475 14.355077806045301 696.6176105147084 1.0 60
[2] 103 {index_type: IVF_FLAT, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 7.788592514931224 17.898614325909875 7.074647792964242 1413.4979284686128 0.8300200000000001 42
[3] 147 {index_type: IVF_SQ8, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 8.330589908058755 17.942916914005764 8.590053800027817 1164.1370627932058 0.81677 44
[4] 193 {index_type: IVF_PQ, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 8.324202349991538 20.94634235801641 7.9790314979618415 1253.2849384733465 0.26872999999999997 46
[5] 243 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 7.6525916900718585 21.795255532022566 8.935320266056806 1119.154065242369 0.9952799999999999 49
[6] 289 {index_type: SCANN, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 8.058301354991272 18.67762152396608 9.050344999996014 1104.930254040526 0.8221200000000001 46
[7] 334 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 8.15713871398475 19.780048740911298 7.274210469098762 1374.71964036242 0.64021 45
[8] 382 {index_type: FLAT, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9905, dataCoord*segment*sealProportion: 0.76, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 88183, dataNode*segment*insertBufSize: 7526631602, rootCoord*minSegmentSizeToEnableIndex: 7839} 7.396293111960404 14.98263839201536 14.429482241976075 693.0255592199634 1.0 47
[9] 432 {index_type: IVF_FLAT, nlist: 3071, nprobe: 3, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 4565, dataCoord*segment*sealProportion: 0.32, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 11268, dataNode*segment*insertBufSize: 6108216436, rootCoord*minSegmentSizeToEnableIndex: 2631} 8.298649213975295 24.455014683073387 7.396564599941485 1351.9789984770919 0.43098000000000003 50
[10] 505 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.91, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 100000, dataNode*segment*insertBufSize: 7868042801, rootCoord*minSegmentSizeToEnableIndex: 9603} 7.792095386073925 18.919856710010208 32.786136866081506 305.00696196218763 0.97972 72
[11] 560 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 10, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.91, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 100000, dataNode*segment*insertBufSize: 7981721364, rootCoord*minSegmentSizeToEnableIndex: 7061} 7.915302604087628 18.530796417035162 12.613115662010387 792.8255213039182 0.20039 55
[12] 614 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 31, efConstruction: 255, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9922, dataCoord*segment*sealProportion: 0.67, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 89315, dataNode*segment*insertBufSize: 7564679627, rootCoord*minSegmentSizeToEnableIndex: 9321} 7.8239305230090395 22.47595984302461 9.24139199394267 1082.0880670957972 0.99484 53
[13] 662 {index_type: SCANN, nlist: 270, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9769, dataCoord*segment*sealProportion: 0.69, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 73743, dataNode*segment*insertBufSize: 6848755197, rootCoord*minSegmentSizeToEnableIndex: 7897} 8.642806744901463 18.759043633006513 7.657214378006756 1305.9579510692886 0.76847 48
[14] 713 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9650, dataCoord*segment*sealProportion: 0.57, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 67785, dataNode*segment*insertBufSize: 5429804782, rootCoord*minSegmentSizeToEnableIndex: 8715} 8.229851735988632 20.858937380020507 8.371884261956438 1194.4742291101722 0.64465 50
[15] 766 {index_type: FLAT, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9832, dataCoord*segment*sealProportion: 0.67, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 80453, dataNode*segment*insertBufSize: 7104893616, rootCoord*minSegmentSizeToEnableIndex: 9086} 8.497365219984204 15.584984407993034 14.429492743918672 693.0250548283835 1.0 53
[16] 818 {index_type: IVF_FLAT, nlist: 1006, nprobe: 13, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9782, dataCoord*segment*sealProportion: 0.68, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 70714, dataNode*segment*insertBufSize: 7010401190, rootCoord*minSegmentSizeToEnableIndex: 7283} 8.088655913015828 19.725703843985684 8.255317506962456 1211.3404471198226 0.7384 51
[17] 877 {index_type: IVF_FLAT, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.7, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 100000, dataNode*segment*insertBufSize: 7809739331, rootCoord*minSegmentSizeToEnableIndex: 9636} 7.7326713090296835 17.841575123020448 14.707782141980715 679.9121651018205 1.0 58
[18] 1127 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 257} 7.742873674957082 19.86621911393013 208.2822478209855 48.01177298890496 0.98031 250
[19] 1183 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 5, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9875, dataCoord*segment*sealProportion: 0.58, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 84356, dataNode*segment*insertBufSize: 6933913537, rootCoord*minSegmentSizeToEnableIndex: 8082} 8.632095667067915 20.76021362200845 6.964030190021731 1435.9501218602263 0.10351000000000002 55
[20] 1238 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 31, efConstruction: 255, ef: 499, reorder_k: 500} {dataCoord*segment*maxSize: 9823, dataCoord*segment*sealProportion: 0.77, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 80055, dataNode*segment*insertBufSize: 7026202380, rootCoord*minSegmentSizeToEnableIndex: 9356} 7.3851979579776525 21.736678157001734 10.14593108696863 985.6167870925061 0.9947 55
[21] 1287 {index_type: SCANN, nlist: 226, nprobe: 9, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9869, dataCoord*segment*sealProportion: 0.52, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 79860, dataNode*segment*insertBufSize: 8319157530, rootCoord*minSegmentSizeToEnableIndex: 10000} 8.66761406394653 18.785373908933252 6.671594587969594 1498.8920367002336 0.79489 48
[22] 1335 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9845, dataCoord*segment*sealProportion: 0.33, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 83908, dataNode*segment*insertBufSize: 6632032731, rootCoord*minSegmentSizeToEnableIndex: 10000} 7.6010413189651445 19.737216267967597 7.144582941080444 1399.6618252552253 0.64217 48
[23] 1386 {index_type: IVF_FLAT, nlist: 219, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 577, dataCoord*segment*sealProportion: 0.04, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 4859, dataNode*segment*insertBufSize: 171388420, rootCoord*minSegmentSizeToEnableIndex: 357} 8.213320485898294 19.839505282929167 6.9601002669660375 1436.760910968755 0.41638000000000003 50
[24] 1436 {index_type: IVF_SQ8, nlist: 246, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 707, dataCoord*segment*sealProportion: 0.34, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6792, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1192} 8.128853159025311 17.737577378051355 7.0435500430176035 1419.7386174480548 0.40652 50
[25] 1487 {index_type: IVF_PQ, nlist: 320, nprobe: 11, m: 10, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1025, dataCoord*segment*sealProportion: 0.46, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13054, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1278} 8.005705157993361 18.627683711005375 7.07137237302959 1414.1526527637375 0.2519 51
[26] 1542 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 255, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.75, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 77119, dataNode*segment*insertBufSize: 7368402148, rootCoord*minSegmentSizeToEnableIndex: 10000} 7.735446554957889 22.88903976592701 9.484909664024599 1054.3062985543334 0.99515 54
[27] 1590 {index_type: IVF_FLAT, nlist: 286, nprobe: 4, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.71, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 80276, dataNode*segment*insertBufSize: 8741470105, rootCoord*minSegmentSizeToEnableIndex: 10000} 7.554744870052673 17.67382755910512 7.645215347060002 1308.0076290912511 0.6634800000000001 47
[28] 1640 {index_type: IVF_PQ, nlist: 242, nprobe: 16, m: 10, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9887, dataCoord*segment*sealProportion: 0.5, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 83131, dataNode*segment*insertBufSize: 6700824829, rootCoord*minSegmentSizeToEnableIndex: 10000} 7.896959101082757 18.506174854002893 6.9749815330142155 1433.6955521197679 0.24447 50
[29] 1692 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 255, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 906, dataCoord*segment*sealProportion: 0.53, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 8047, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 3434} 7.939391284948215 21.582020430010743 9.191390969906934 1087.9746093644032 0.9953 52
[30] 1746 {index_type: SCANN, nlist: 1338, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9711, dataCoord*segment*sealProportion: 0.67, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 84366, dataNode*segment*insertBufSize: 6148128298, rootCoord*minSegmentSizeToEnableIndex: 10000} 8.164221210055985 22.81026819208637 7.023989813053049 1423.6922698003455 0.67796 53
[31] 1794 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.54, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 83746, dataNode*segment*insertBufSize: 8300259879, rootCoord*minSegmentSizeToEnableIndex: 9764} 8.035114043974318 20.66913450101856 7.1397481199819595 1400.6096338347113 0.6422399999999999 48
[32] 1844 {index_type: IVF_FLAT, nlist: 237, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1038, dataCoord*segment*sealProportion: 0.44, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 9779, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2039} 8.612896517035551 17.721228618058376 7.15290152002126 1398.0340665965548 0.77738 49
[33] 1896 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 10, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9881, dataCoord*segment*sealProportion: 0.47, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 83823, dataNode*segment*insertBufSize: 8460782920, rootCoord*minSegmentSizeToEnableIndex: 8216} 7.828103416948579 17.935532219009474 12.656598869012669 790.1016776697523 0.19949000000000003 51
[34] 1948 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 31, efConstruction: 255, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.48, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 82965, dataNode*segment*insertBufSize: 6458224412, rootCoord*minSegmentSizeToEnableIndex: 10000} 8.317226376966573 22.46147155901417 9.047546245972626 1105.2720514638258 0.9949899999999999 52
[35] 1999 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 596} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.53, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 83805, dataNode*segment*insertBufSize: 7705807319, rootCoord*minSegmentSizeToEnableIndex: 10000} 8.990887751919217 19.61410000990145 6.834071959019639 1463.2564684663519 0.99905 51
[36] 2047 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1863, dataCoord*segment*sealProportion: 0.48, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 14901, dataNode*segment*insertBufSize: 1626596841, rootCoord*minSegmentSizeToEnableIndex: 2196} 8.1993562100688 21.33006970200222 6.54627668496687 1527.5859058882124 0.64392 47
