[1] 131 {index_type: FLAT, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 52.0863284021616 60.19484473625198 40.47736350726336 247.05166378253796 0.9999600000000001 131
[2] 236 {index_type: IVF_FLAT, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 59.78115895297378 77.44177473103628 9.547061714809388 1047.4426895646873 0.96416 105
[3] 331 {index_type: IVF_SQ8, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 51.63243660284206 68.7889185519889 7.723438031971455 1294.760177864396 0.9418800000000002 95
[4] 438 {index_type: IVF_PQ, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 55.806971061974764 80.50271957786754 7.3537646839395165 1359.8477011155676 0.14895000000000003 106
[5] 569 {index_type: HNSW, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 53.514280234929174 104.64086583117023 8.827103334013373 1132.8744687362068 0.9999 131
[6] 679 {index_type: SCANN, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 55.42699007783085 83.86222727689892 7.383885772433132 1354.3004737876392 0.96485 110
[7] 803 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 53.565330082084984 97.06352487811819 7.563410527072847 1322.154861779022 0.90222 123
[8] 961 {index_type: FLAT, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9905, dataCoord*segment*sealProportion: 0.76, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 88183, dataNode*segment*insertBufSize: 7526631602, rootCoord*minSegmentSizeToEnableIndex: 7839} 54.5647346819751 72.89726376580074 65.46463137399405 152.75423981036147 0.99997 157
[9] 1097 {index_type: IVF_FLAT, nlist: 6, nprobe: 1, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 144, dataCoord*segment*sealProportion: 0.04, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 474, dataNode*segment*insertBufSize: 104311511, rootCoord*minSegmentSizeToEnableIndex: 114} 55.30777532979846 101.9216205519624 14.013352705165744 713.6051029610993 0.82311 136
[10] 1198 {index_type: IVF_SQ8, nlist: 174, nprobe: 10, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 650, dataCoord*segment*sealProportion: 0.3, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6706, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1367} 55.63936411915347 71.79264790797606 7.636924922000617 1309.4275643841654 0.9457300000000001 101
[11] 1310 {index_type: IVF_PQ, nlist: 323, nprobe: 19, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1186, dataCoord*segment*sealProportion: 0.24, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13149, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2310} 57.25233427109197 80.93803237518296 7.173460176680237 1394.0273945492008 0.17409000000000002 111
