[14] 1408 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 330, dataCoord*segment*sealProportion: 0.24, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5022, dataNode*segment*insertBufSize: 2833330751, rootCoord*minSegmentSizeToEnableIndex: 1033} 29.262872762978077 65.60309106507339 7.0821209389250726 1412.0063871032685 0.68534 94
[15] 1520 {index_type: FLAT, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1128, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5016, dataNode*segment*insertBufSize: 2879005786, rootCoord*minSegmentSizeToEnableIndex: 1122} 29.713589721824974 44.84401372494176 43.63771084113978 229.15959172112267 1.0 111
[16] 1620 {index_type: IVF_FLAT, nlist: 1764, nprobe: 24, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2151, dataCoord*segment*sealProportion: 0.26, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5292, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1226} 33.601185526000336 69.73707118397579 7.306181481108069 1368.704024921563 0.8220099999999999 100
[17] 1741 {index_type: IVF_FLAT, nlist: 3242, nprobe: 32, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 432, dataCoord*segment*sealProportion: 0.29, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6542, dataNode*segment*insertBufSize: 924564762, rootCoord*minSegmentSizeToEnableIndex: 1350} 32.48569585592486 87.85654421895742 7.446476454846561 1342.9170239961575 0.81762 120
[18] 1851 {index_type: IVF_SQ8, nlist: 2293, nprobe: 35, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2698, dataCoord*segment*sealProportion: 0.28, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6011, dataNode*segment*insertBufSize: 1583350546, rootCoord*minSegmentSizeToEnableIndex: 1246} 32.65737495897338 77.53829843504354 9.512615020154044 1051.2356464351128 0.8307800000000001 110
[19] 1972 {index_type: IVF_PQ, nlist: 2438, nprobe: 19, m: 5, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1046, dataCoord*segment*sealProportion: 0.26, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 4773, dataNode*segment*insertBufSize: 1534476381, rootCoord*minSegmentSizeToEnableIndex: 1281} 33.947854241821915 85.82331070490181 7.158617995912209 1396.917674013379 0.13722 121
[20] 2098 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 2451, dataNode*segment*insertBufSize: 2239221663, rootCoord*minSegmentSizeToEnableIndex: 100} 33.5184321240522 88.95750317396596 12.245311581995338 816.6390812548461 0.9976799999999999 125
[21] 2188 {index_type: SCANN, nlist: 142, nprobe: 19, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 824, dataCoord*segment*sealProportion: 0.24, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 7964, dataNode*segment*insertBufSize: 2330061517, rootCoord*minSegmentSizeToEnableIndex: 2269} 34.66412395099178 56.859386238968 6.982908851932734 1432.06795506606 0.92889 89
[22] 2294 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2863, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 16252, dataNode*segment*insertBufSize: 4028052092, rootCoord*minSegmentSizeToEnableIndex: 1694} 29.610200478928164 76.52396653592587 6.730668528005481 1485.736514640594 0.6017 106
[23] 2394 {index_type: IVF_FLAT, nlist: 1723, nprobe: 39, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2466, dataCoord*segment*sealProportion: 0.28, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 10398, dataNode*segment*insertBufSize: 118903174, rootCoord*minSegmentSizeToEnableIndex: 2624} 35.501115541905165 69.03088311897591 8.11022693803534 1233.011119960405 0.86592 100
[24] 2484 {index_type: IVF_SQ8, nlist: 596, nprobe: 36, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2767, dataCoord*segment*sealProportion: 0.28, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12364, dataNode*segment*insertBufSize: 409818133, rootCoord*minSegmentSizeToEnableIndex: 100} 29.661717529874295 49.83830192987807 15.659247891046107 638.6002743923582 0.8966300000000001 90
[25] 2772 {index_type: IVF_PQ, nlist: 15, nprobe: 15, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1789, dataCoord*segment*sealProportion: 0.26, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1493574635, rootCoord*minSegmentSizeToEnableIndex: 1956} 35.06254546996206 57.51483382890001 204.85434561804868 48.815171432316205 0.18803000000000003 288
[26] 2901 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 31, efConstruction: 255, ef: 499, reorder_k: 500} {dataCoord*segment*maxSize: 1065, dataCoord*segment*sealProportion: 0.22, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13667, dataNode*segment*insertBufSize: 2057479371, rootCoord*minSegmentSizeToEnableIndex: 1631} 29.606082409154624 90.11113211815245 9.767103635007516 1023.8449773541596 0.9768800000000001 128
