[1] 88 {index_type: FLAT, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 33.02075878158212 40.61633191909641 29.1542641017586 343.0029982954293 1.0 88
[2] 165 {index_type: IVF_FLAT, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 33.629398884251714 49.78798356279731 8.840141312219203 1131.2036365501979 0.85777 77
[3] 241 {index_type: IVF_SQ8, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 32.506353753618896 45.13899252656847 12.079988883808255 827.8153313041352 0.8479899999999999 76
[4] 320 {index_type: IVF_PQ, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 32.83821729104966 52.931728835217655 7.148646058514714 1398.8662913432472 0.2164 78
[5] 426 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 29.731014903634787 77.18110359273851 10.409930705092847 960.6211879112416 0.9903299999999999 105
[6] 501 {index_type: SCANN, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 30.48657108936459 49.67581035196781 7.168611724860966 1394.9702374477463 0.8561800000000002 75
[7] 597 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 34.17171971593052 69.52467311918736 6.999126642011106 1428.7496871361986 0.65441 95
[8] 705 {index_type: FLAT, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9905, dataCoord*segment*sealProportion: 0.76, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 88183, dataNode*segment*insertBufSize: 7526631602, rootCoord*minSegmentSizeToEnableIndex: 7839} 31.195780839771032 45.83357911743224 43.01904783770442 232.45516817867392 1.0 108
[9] 972 {index_type: IVF_FLAT, nlist: 129, nprobe: 4, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.03, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 105} 33.206130320206285 65.99433201458305 178.78545593377203 55.932961368537306 0.77113 267
[10] 1062 {index_type: IVF_SQ8, nlist: 127, nprobe: 9, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 656, dataCoord*segment*sealProportion: 0.29, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6722, dataNode*segment*insertBufSize: 22713207, rootCoord*minSegmentSizeToEnableIndex: 1346} 32.71915647294372 45.84482701588422 16.290791476145387 613.8437174549196 0.85857 89
[11] 1146 {index_type: IVF_PQ, nlist: 126, nprobe: 13, m: 5, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1173, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12857, dataNode*segment*insertBufSize: 43324282, rootCoord*minSegmentSizeToEnableIndex: 2477} 31.842278621159494 50.33197838347405 8.335535915568471 1199.6829119676363 0.07119 84
[12] 1499 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 34, efConstruction: 257, ef: 540, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.22, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1079} 32.51928158849478 96.5718670329079 232.91348036564887 42.93439771841924 0.9969 353
[13] 1579 {index_type: SCANN, nlist: 127, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 499} {dataCoord*segment*maxSize: 275, dataCoord*segment*sealProportion: 0.5, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 2233, dataNode*segment*insertBufSize: 7133473, rootCoord*minSegmentSizeToEnableIndex: 1047} 31.41917882487178 49.58417198527604 6.897925686091185 1449.7111820389375 0.8387700000000001 79
[14] 1689 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1813, dataCoord*segment*sealProportion: 0.54, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13564, dataNode*segment*insertBufSize: 92877693, rootCoord*minSegmentSizeToEnableIndex: 985} 33.654340776614845 77.08681983035058 6.9126070169731975 1446.6322149438013 0.59861 110
[15] 1797 {index_type: FLAT, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 545, dataCoord*segment*sealProportion: 0.55, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 4583, dataNode*segment*insertBufSize: 22636790, rootCoord*minSegmentSizeToEnableIndex: 1145} 33.84104938432574 41.93688099924475 42.74726047553122 233.9331196609443 1.0 107
[16] 1897 {index_type: IVF_FLAT, nlist: 1685, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 818, dataCoord*segment*sealProportion: 0.46, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 2662, dataNode*segment*insertBufSize: 383786775, rootCoord*minSegmentSizeToEnableIndex: 1142} 32.482375575229526 68.54009821359068 7.073664387688041 1413.6944378369644 0.34788 99
[17] 2028 {index_type: IVF_FLAT, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 944, dataCoord*segment*sealProportion: 0.45, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 3752, dataNode*segment*insertBufSize: 353272516, rootCoord*minSegmentSizeToEnableIndex: 1123} 32.97594247199595 54.658449824899435 42.74347715172917 233.95382562121424 1.0 130
[18] 2409 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 647, dataCoord*segment*sealProportion: 0.68, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 568270024, rootCoord*minSegmentSizeToEnableIndex: 1101} 35.525328220799565 55.58875742647797 302.69186688866466 33.036896903735354 0.9792900000000001 381
[19] 2523 {index_type: IVF_PQ, nlist: 2206, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 789, dataCoord*segment*sealProportion: 0.47, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 2981, dataNode*segment*insertBufSize: 296420475, rootCoord*minSegmentSizeToEnableIndex: 3394} 32.19381317961961 79.556614626199 6.615109210833907 1511.6908400578604 0.19246 113
[20] 2851 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 29, efConstruction: 254, ef: 452, reorder_k: 500} {dataCoord*segment*maxSize: 1037, dataCoord*segment*sealProportion: 0.52, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1733802191, rootCoord*minSegmentSizeToEnableIndex: 1158} 34.96222060546279 97.6689067594707 204.64940491318703 48.86405608773714 0.971 328
[21] 2946 {index_type: SCANN, nlist: 1023, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 499} {dataCoord*segment*maxSize: 705, dataCoord*segment*sealProportion: 0.5, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 9427, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 32.75520789157599 60.97445392422378 7.040336784906685 1420.3865959137554 0.71316 94
[22] 3172 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 513, dataCoord*segment*sealProportion: 0.22, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1116} 31.55451611150056 70.15213790163398 132.14273955579847 75.67574301558513 0.6492500000000001 226
[23] 3282 {index_type: IVF_FLAT, nlist: 2234, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 849, dataCoord*segment*sealProportion: 0.47, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 3301, dataNode*segment*insertBufSize: 300255586, rootCoord*minSegmentSizeToEnableIndex: 2911} 31.36747602839023 77.72203899547458 6.57953670155257 1519.8638526691864 0.33645 110
[24] 3391 {index_type: IVF_SQ8, nlist: 2313, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 861, dataCoord*segment*sealProportion: 0.47, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 3872, dataNode*segment*insertBufSize: 252916316, rootCoord*minSegmentSizeToEnableIndex: 100} 34.059972086921334 77.92730304878205 7.707352885976434 1297.4623256442621 0.33137 108
[25] 3505 {index_type: IVF_PQ, nlist: 2526, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 869, dataCoord*segment*sealProportion: 0.47, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 4357, dataNode*segment*insertBufSize: 129439458, rootCoord*minSegmentSizeToEnableIndex: 3716} 34.867421514354646 80.7251252643764 6.645227620378137 1504.8393480659981 0.18947 114
