[14] 2056 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1726, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 17427, dataNode*segment*insertBufSize: 211128267, rootCoord*minSegmentSizeToEnableIndex: 2267} 44.00203546602279 103.02837690524757 7.1297801081091166 1402.5677998998053 0.5932400000000001 133
[15] 2166 {index_type: FLAT, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 383, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 25234, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1146} 43.40618476271629 52.33494132105261 33.77839452493936 296.0472260638904 0.99998 109
[16] 2310 {index_type: IVF_FLAT, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 18954, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1357} 46.32323153037578 83.8043936798349 34.49733889568597 289.87743171258177 0.99998 144
[17] 2408 {index_type: IVF_FLAT, nlist: 248, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1575, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 21473, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 390} 44.67509187664837 63.84770092461258 7.182858506217599 1392.2033952560582 0.82414 97
[18] 2603 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1479, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 20112, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 45.21698649507016 57.8617672752589 109.22602524328977 91.55327201302094 0.9780400000000001 195
[19] 2708 {index_type: IVF_PQ, nlist: 27, nprobe: 11, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1384, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 20046, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 43.223152220249176 62.90445592440665 8.567824020050466 1167.1574925673017 0.17964000000000002 104
[20] 2875 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.09, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 14257, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 45.44350079912692 112.0451714945957 30.591914414428174 326.8837596931712 0.9993900000000001 166
[21] 3001 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 137, dataCoord*segment*sealProportion: 0.24, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 28952, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 45.29731046408415 92.77191525232047 7.551499884575605 1324.240237416358 0.99997 126
[22] 3146 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9876, dataCoord*segment*sealProportion: 0.76, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 88203, dataNode*segment*insertBufSize: 7511913429, rootCoord*minSegmentSizeToEnableIndex: 7803} 46.87170204054564 114.61754157859832 6.9871416706591845 1431.200406597248 0.5919 145
[23] 3275 {index_type: IVF_FLAT, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 620, dataCoord*segment*sealProportion: 0.24, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 21479, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 44.21242624800652 62.58185123279691 37.94021228887141 263.57258952220445 0.9999899999999999 128
