[1] 195 {index_type: FLAT, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 93.47231052070856 129.69135354459286 46.87802988104522 21.331954489929245 0.9999 195
[2] 414 {index_type: IVF_FLAT, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 86.69886308535933 192.79641660675406 6.627154666930437 150.8943204524876 0.8894000000000001 218
[3] 594 {index_type: IVF_SQ8, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 86.45879337005317 157.43312826380134 3.1509620547294617 317.36339017445226 0.8743 179
[4] 819 {index_type: IVF_PQ, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 92.85811839066446 203.74302673712373 2.275703515857458 439.4245529049999 0.11040000000000001 224
[5] 1154 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 91.2887261044234 309.512614607811 6.315440760925412 158.34207585116644 0.9977999999999999 334
[6] 1499 {index_type: SCANN, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 92.5173833053559 322.92325569689274 2.590430837124586 386.0361703808366 0.8871 345
[7] 1823 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 94.30470291897655 303.5736511517316 2.205731773748994 453.36428114300594 0.764 324
[8] 2089 {index_type: FLAT, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9905, dataCoord*segment*sealProportion: 0.76, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 88183, dataNode*segment*insertBufSize: 7526631602, rootCoord*minSegmentSizeToEnableIndex: 7839} 87.33480116538703 203.99223704449832 42.10938202403486 23.747676929317745 0.9996 266
[9] 2522 {index_type: IVF_FLAT, nlist: 2920, nprobe: 13, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9923, dataCoord*segment*sealProportion: 0.93, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 85352, dataNode*segment*insertBufSize: 8766165499, rootCoord*minSegmentSizeToEnableIndex: 8580} 81.37066897191107 410.46695254929364 2.509320568293333 398.51424829316693 0.6235 432
[10] 2971 {index_type: IVF_SQ8, nlist: 3905, nprobe: 6, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.5, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 93594, dataNode*segment*insertBufSize: 7589693906, rootCoord*minSegmentSizeToEnableIndex: 8280} 92.11234283447266 425.6994595043361 2.2214916106313467 450.147997505064 0.43090000000000006 449
[11] 3225 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9655, dataCoord*segment*sealProportion: 0.99, queryCoord*autoHandoff: False, queryCoord*autoBalance: False, common*gracefulTime: 76859, dataNode*segment*insertBufSize: 6337780722, rootCoord*minSegmentSizeToEnableIndex: 6126} 75.68521847389638 229.8592593278736 2.9571871925145388 338.1591813096166 0.0758 253
[12] 3592 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 27, efConstruction: 140, ef: 189, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.22, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 930} 97.08860857225955 315.4610415250063 30.278979359194636 33.026212282031096 0.996 367
[13] 3864 {index_type: SCANN, nlist: 134, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 499} {dataCoord*segment*maxSize: 2775, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 31858, dataNode*segment*insertBufSize: 100985209, rootCoord*minSegmentSizeToEnableIndex: 1523} 95.65165639296174 248.78795485198498 2.404882175847888 415.82078741443144 0.8822000000000001 272
[14] 4212 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 4782, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 2634, dataNode*segment*insertBufSize: 7327471, rootCoord*minSegmentSizeToEnableIndex: 1434} 84.77876604348421 322.62718474678695 2.14431319385767 466.349786432539 0.6173 347
[15] 4478 {index_type: FLAT, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.69, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 96644, dataNode*segment*insertBufSize: 9374707999, rootCoord*minSegmentSizeToEnableIndex: 9852} 88.26588948816061 202.9020152129233 42.53452994860709 23.510310357449896 0.9996 266
[16] 4934 {index_type: IVF_FLAT, nlist: 3126, nprobe: 9, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.78, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 94656, dataNode*segment*insertBufSize: 8501908332, rootCoord*minSegmentSizeToEnableIndex: 8956} 84.29369646124542 432.8981053773314 2.4098943658173084 414.95594752380487 0.5367999999999999 456
[17] 5249 {index_type: IVF_FLAT, nlist: 799, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.4, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 91911, dataNode*segment*insertBufSize: 8087381315, rootCoord*minSegmentSizeToEnableIndex: 8519} 78.32534007169306 290.98080743290484 2.8214314207434654 354.4300218137124 0.6668 314
[18] 5834 {index_type: IVF_SQ8, nlist: 7327, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9995, dataCoord*segment*sealProportion: 0.61, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 92371, dataNode*segment*insertBufSize: 7946959939, rootCoord*minSegmentSizeToEnableIndex: 8455} 81.42021129280329 561.7746466714889 2.4674830995500088 405.2712661668761 0.4377 585
[19] 6320 {index_type: IVF_PQ, nlist: 4939, nprobe: 7, m: 8, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 7523, dataCoord*segment*sealProportion: 0.49, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 96989, dataNode*segment*insertBufSize: 8031624156, rootCoord*minSegmentSizeToEnableIndex: 8722} 87.86912051774561 459.59913821704686 2.3165601324290037 431.6745272446094 0.10060000000000001 485
[20] 6727 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 34, efConstruction: 309, ef: 669, reorder_k: 500} {dataCoord*segment*maxSize: 2936, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 10402, dataNode*segment*insertBufSize: 3371495, rootCoord*minSegmentSizeToEnableIndex: 1305} 88.12858135998249 381.87894839048386 5.0728727001696825 197.1269651545861 0.9969000000000001 407
[21] 7297 {index_type: SCANN, nlist: 5251, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.58, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 91855, dataNode*segment*insertBufSize: 7701914540, rootCoord*minSegmentSizeToEnableIndex: 8323} 88.4384196717292 545.84579009749 2.3355250991880894 428.16923712257903 0.4269 569
[22] 7618 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1477, dataCoord*segment*sealProportion: 0.31, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 29237, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 4085} 88.24621179699898 297.6676460020244 2.224602594971657 449.5184902958997 0.7067 321
[23] 8072 {index_type: IVF_FLAT, nlist: 3007, nprobe: 11, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 7365, dataCoord*segment*sealProportion: 0.67, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 91353, dataNode*segment*insertBufSize: 8651649490, rootCoord*minSegmentSizeToEnableIndex: 8902} 89.89102616719902 429.2270946186036 2.4091298654675484 415.08762741851046 0.5886000000000001 453
[24] 8345 {index_type: IVF_SQ8, nlist: 586, nprobe: 20, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9332, dataCoord*segment*sealProportion: 0.66, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 90583, dataNode*segment*insertBufSize: 9776575587, rootCoord*minSegmentSizeToEnableIndex: 9543} 87.97958436980844 247.66409203223884 3.8483610283583403 259.85088005804556 0.8747 273
[25] 8862 {index_type: IVF_PQ, nlist: 5671, nprobe: 3, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 5799, dataCoord*segment*sealProportion: 0.76, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 88424, dataNode*segment*insertBufSize: 7670924300, rootCoord*minSegmentSizeToEnableIndex: 8318} 82.33525540493429 495.4147432912141 2.252059932798147 444.03791632557335 0.1199 517
[26] 9238 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 281, ef: 722, reorder_k: 500} {dataCoord*segment*maxSize: 1306, dataCoord*segment*sealProportion: 0.2, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 34696, dataNode*segment*insertBufSize: 164629142, rootCoord*minSegmentSizeToEnableIndex: 476} 89.31302937492728 349.76871748268604 4.991543846204877 200.3388191732124 0.9977999999999999 375
[27] 9729 {index_type: IVF_SQ8, nlist: 5152, nprobe: 12, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 5562, dataCoord*segment*sealProportion: 0.89, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 100000, dataNode*segment*insertBufSize: 8847707625, rootCoord*minSegmentSizeToEnableIndex: 8824} 84.73306889459491 467.412544824183 2.358467236161232 424.00419419336674 0.5466 491
[28] 10235 {index_type: IVF_PQ, nlist: 5353, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 5264, dataCoord*segment*sealProportion: 0.5, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 73366, dataNode*segment*insertBufSize: 6589911325, rootCoord*minSegmentSizeToEnableIndex: 8418} 87.22223784029484 482.6041297465563 2.3046395517885685 433.9073323739181 0.09070000000000002 505
[29] 10664 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 33, efConstruction: 403, ef: 573, reorder_k: 500} {dataCoord*segment*maxSize: 1357, dataCoord*segment*sealProportion: 0.22, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 26260, dataNode*segment*insertBufSize: 68778545, rootCoord*minSegmentSizeToEnableIndex: 1305} 88.56013212911785 401.28033426217735 5.145906921476126 194.329204795089 0.9982000000000001 429
[30] 10967 {index_type: SCANN, nlist: 135, nprobe: 31, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 455} {dataCoord*segment*maxSize: 1466, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 36339, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 507} 93.586446268484 278.48619665019214 2.90834160707891 343.8385633812747 0.9956 302
[31] 11289 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1301, dataCoord*segment*sealProportion: 0.19, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 43710, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 92.2405925579369 298.63959120213985 2.3084905855357647 433.1834863289753 0.7325 321
[32] 11766 {index_type: IVF_SQ8, nlist: 4754, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 7922, dataCoord*segment*sealProportion: 0.88, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 99227, dataNode*segment*insertBufSize: 8623440403, rootCoord*minSegmentSizeToEnableIndex: 8593} 88.18431567959487 453.7572345621884 2.398625176399946 416.9054881266952 0.5225 476
[33] 11951 {index_type: IVF_PQ, nlist: 138, nprobe: 30, m: 8, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1467, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 32223, dataNode*segment*insertBufSize: 24122643, rootCoord*minSegmentSizeToEnableIndex: 1029} 85.13009553216398 160.73799071460962 2.4209419265389442 413.06236594846035 0.0741 185
[34] 12317 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 22, efConstruction: 293, ef: 637, reorder_k: 500} {dataCoord*segment*maxSize: 4407, dataCoord*segment*sealProportion: 0.04, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 35603, dataNode*segment*insertBufSize: 551877519, rootCoord*minSegmentSizeToEnableIndex: 3127} 94.08254452422261 337.53226526267827 5.889699392020702 169.78795239614243 0.9975999999999999 365
[35] 12565 {index_type: SCANN, nlist: 109, nprobe: 29, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 522} {dataCoord*segment*maxSize: 3179, dataCoord*segment*sealProportion: 0.5, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 35817, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1661} 85.83746463805437 224.30781816504896 3.0165104772895575 331.5088767397671 0.9943 248
[36] 12872 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.31, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 27519, dataNode*segment*insertBufSize: 464951343, rootCoord*minSegmentSizeToEnableIndex: 980} 93.61378211714327 281.5804754309356 3.0933190900832415 323.27735059918757 0.8966000000000002 306
[37] 13391 {index_type: IVF_PQ, nlist: 5640, nprobe: 6, m: 10, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 7900, dataCoord*segment*sealProportion: 0.91, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 100000, dataNode*segment*insertBufSize: 8699587713, rootCoord*minSegmentSizeToEnableIndex: 8611} 92.1596810426563 494.4638440050185 2.289438074454665 436.7884028652734 0.1144 519
