[1] 234 {index_type: FLAT, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 112.29465392976999 158.6778428722173 56.31511001288891 17.75722359010093 0.9992000000000001 234
[12] 4754 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 499, reorder_k: 500} {dataCoord*segment*maxSize: 620, dataCoord*segment*sealProportion: 0.2, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6294, dataNode*segment*insertBufSize: 21162036, rootCoord*minSegmentSizeToEnableIndex: 111} 113.55011583119631 454.5994800962508 5.9422434866428375 168.28660795334818 0.9979 490
[13] 6275 {index_type: SCANN, nlist: 222, nprobe: 16, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 499} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 683} 119.57189641520381 1457.6960689462721 23.910570304840803 41.82250725310159 0.9507000000000001 1521
[14] 6772 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.09, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5455, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 817} 104.26859121210873 448.67161855846643 3.592310804873705 278.3723498098481 0.9009000000000001 497
[15] 7011 {index_type: FLAT, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 350, dataCoord*segment*sealProportion: 0.31, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6050, dataNode*segment*insertBufSize: 3714209, rootCoord*minSegmentSizeToEnableIndex: 356} 116.34286238253117 155.90977575071156 50.29805213585496 19.881485614969773 0.9993 238
[16] 7443 {index_type: IVF_FLAT, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.29, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6054, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 127.5023452565074 340.6271740794182 54.315545093268156 18.41093554861405 0.9991 432
[17] 7764 {index_type: IVF_FLAT, nlist: 12, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 380, dataCoord*segment*sealProportion: 0.28, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 3895, dataNode*segment*insertBufSize: 16767288, rootCoord*minSegmentSizeToEnableIndex: 100} 112.75459941290319 249.7060637511313 47.19116805866361 21.190405771624352 0.9987999999999999 320
[18] 8004 {index_type: IVF_SQ8, nlist: 228, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 857, dataCoord*segment*sealProportion: 0.09, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 9420, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1269} 115.63834549114108 209.94028625637293 2.809887746348977 355.8861030300404 0.8028 240
[19] 8250 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 8, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 955, dataCoord*segment*sealProportion: 0.16, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 94275859, rootCoord*minSegmentSizeToEnableIndex: 844} 122.1272926274687 197.4131573010236 24.687890246510506 40.50568882212786 0.0384 246
[20] 8726 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 31, efConstruction: 255, ef: 499, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.2, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 8465, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 608} 123.73311317153275 429.9116755910218 17.090876162052155 58.51075102985983 0.9987 475
[21] 9272 {index_type: SCANN, nlist: 69, nprobe: 12, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 783, dataCoord*segment*sealProportion: 0.12, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6185, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1496} 118.69318516366184 517.6304478906095 3.066892471164465 326.0629478868919 0.9786000000000001 545
[22] 9694 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 431, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6101, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1500} 111.72527128085494 393.8659295309335 2.3949151020497084 417.5513358048231 0.7845 422
[23] 9989 {index_type: IVF_FLAT, nlist: 110, nprobe: 17, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 515, dataCoord*segment*sealProportion: 0.14, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6589, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1445} 113.39495718851686 246.84153664670885 12.290305530652404 81.36494227144874 0.9822000000000001 295
[24] 10254 {index_type: IVF_SQ8, nlist: 922, nprobe: 27, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1656, dataCoord*segment*sealProportion: 0.47, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 10434, dataNode*segment*insertBufSize: 256375713, rootCoord*minSegmentSizeToEnableIndex: 2032} 113.666584700346 239.61384920962155 3.1441600769758224 318.0499642250529 0.883 264
[25] 10553 {index_type: IVF_PQ, nlist: 635, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 700, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6257, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1465} 110.67654362134635 268.40125680714846 2.3342454098165035 428.40396977737254 0.11170000000000002 299
[26] 11166 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 499, reorder_k: 500} {dataCoord*segment*maxSize: 1110, dataCoord*segment*sealProportion: 0.24, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 9778, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 565} 114.62924248352647 578.7111483793706 4.7726927269250154 209.52532610333938 0.9962000000000001 613
[27] 11467 {index_type: IVF_SQ8, nlist: 1204, nprobe: 12, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1277, dataCoord*segment*sealProportion: 0.35, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 9309, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 606} 114.21241896227002 271.79630217701197 2.5896137226372957 386.15797841138533 0.7341 300
[28] 11737 {index_type: IVF_PQ, nlist: 464, nprobe: 16, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1442, dataCoord*segment*sealProportion: 0.24, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 10286, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1412} 112.38569576479495 240.8047184664756 2.20288379304111 453.9504095309026 0.1135 270
[29] 12405 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 36, efConstruction: 298, ef: 511, reorder_k: 500} {dataCoord*segment*maxSize: 1408, dataCoord*segment*sealProportion: 0.29, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 8629, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 852} 110.9713902194053 607.8841228112578 12.342751083895564 81.01921469556076 0.9976 667
[30] 13085 {index_type: SCANN, nlist: 930, nprobe: 13, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 502} {dataCoord*segment*maxSize: 967, dataCoord*segment*sealProportion: 0.06, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 10763, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 122.41341696865857 642.1280832309276 2.67833049595356 373.3669170069963 0.7787000000000001 680
[31] 13560 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 598, dataCoord*segment*sealProportion: 0.04, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13953, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 115.15245613269508 438.88992353901267 2.2196703162044287 450.517355077294 0.7397 474
[32] 13792 {index_type: IVF_SQ8, nlist: 108, nprobe: 20, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 957, dataCoord*segment*sealProportion: 0.35, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 15004, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1177} 111.60778551921248 194.66222058609128 7.13756338506937 140.1038346071768 0.9684 232
[33] 14068 {index_type: IVF_PQ, nlist: 935, nprobe: 14, m: 8, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 975, dataCoord*segment*sealProportion: 0.38, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 10127, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 927} 119.82195950858295 245.5110071003437 2.1402697060257196 467.23083412553007 0.08480000000000001 275
[34] 14632 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 35, efConstruction: 276, ef: 517, reorder_k: 500} {dataCoord*segment*maxSize: 697, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12587, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 114.91803171113133 533.3776671551168 4.9645250011235476 201.42913970091496 0.9974000000000001 564
[35] 15306 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 378} {dataCoord*segment*maxSize: 919, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12464, dataNode*segment*insertBufSize: 131996897, rootCoord*minSegmentSizeToEnableIndex: 105} 120.94188779778779 647.0190801825374 5.4837303180247545 182.35761826453222 0.999 673
[36] 15775 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.07, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13825, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 126.56012524291873 433.74794247187674 3.6269445437937975 275.71416875152886 0.8956000000000001 468
[37] 16047 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 12, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1176, dataCoord*segment*sealProportion: 0.19, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 9523, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 113.3977578394115 232.12461264431477 2.6019229758530855 384.3311309675232 0.08700000000000001 272
[38] 16499 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 27, efConstruction: 215, ef: 494, reorder_k: 500} {dataCoord*segment*maxSize: 801, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 10269, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1267} 110.41366974823177 414.81990059278905 6.476613225415349 154.40168575696742 0.9962 452
[39] 17023 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 607} {dataCoord*segment*maxSize: 875, dataCoord*segment*sealProportion: 0.06, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12339, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1275} 113.85096418112516 496.75326298363507 5.223235417157412 191.45221689896945 0.9992000000000001 523
[40] 17471 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.11, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 16313, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 118.01599902287126 419.4798782542348 4.131652368232608 242.0339154592933 0.8967 447
[41] 17713 {index_type: IVF_PQ, nlist: 435, nprobe: 10, m: 5, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1040, dataCoord*segment*sealProportion: 0.14, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 9981, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 166} 111.120093036443 210.78517827019095 2.2830154299736023 438.0171885266508 0.05759999999999999 242
[42] 18248 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 33, efConstruction: 253, ef: 506, reorder_k: 500} {dataCoord*segment*maxSize: 611, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5359, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2669} 125.48735080100596 495.84500907734036 7.271481946110725 137.52354848860855 0.9967999999999999 535
[43] 18941 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 482} {dataCoord*segment*maxSize: 579, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5829, dataNode*segment*insertBufSize: 118863350, rootCoord*minSegmentSizeToEnableIndex: 1093} 121.26466067321599 660.7641400322318 5.413453482091427 184.7249640748111 0.9991 692
[44] 19367 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 499, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13270, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 241} 123.97490916773677 398.9459444042295 2.415201187133789 414.04418204461797 0.7785 425
[45] 19672 {index_type: IVF_PQ, nlist: 486, nprobe: 13, m: 12, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1100, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 9650, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2222} 118.99245704337955 279.717904150486 2.266967127099633 441.11799771856596 0.12730000000000002 305
[46] 20267 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 33, efConstruction: 256, ef: 455, reorder_k: 500} {dataCoord*segment*maxSize: 859, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12680, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 687} 109.9966719057411 560.5539038907737 4.510654581710696 221.69731285891177 0.9969 594
[47] 20881 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 31, efConstruction: 253, ef: 644, reorder_k: 500} {dataCoord*segment*maxSize: 1028, dataCoord*segment*sealProportion: 0.08, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 11166, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1010} 113.63969771936536 570.7837229780853 11.472349183633924 87.16610556332849 0.9972000000000001 613
[48] 21316 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 548} {dataCoord*segment*maxSize: 762, dataCoord*segment*sealProportion: 0.14, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 30594, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 703} 105.88879431597888 405.8648241609335 4.899046260863543 204.12136296580562 0.9987999999999999 435
[49] 21820 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 518, dataCoord*segment*sealProportion: 0.1, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 9911, dataNode*segment*insertBufSize: 1817084922, rootCoord*minSegmentSizeToEnableIndex: 565} 116.93481354601681 470.6992624346167 5.72533511556685 174.66226514515435 0.7732 503
[50] 22513 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 29, efConstruction: 301, ef: 393, reorder_k: 500} {dataCoord*segment*maxSize: 803, dataCoord*segment*sealProportion: 0.19, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12973, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1257} 109.82674307003617 663.872680624947 4.278849441558123 233.70768559593319 0.9960999999999999 693
[51] 22852 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 485} {dataCoord*segment*maxSize: 1797, dataCoord*segment*sealProportion: 0.36, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6542, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1455} 114.10437783226371 311.0800509098917 4.847122970968485 206.30794926999633 0.9992000000000001 338
[52] 23226 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 373, dataCoord*segment*sealProportion: 0.45, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 15591, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 117.78020408190787 347.6754687204957 2.2756566144526005 439.4336094685998 0.7864000000000001 373
[53] 23675 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 38, efConstruction: 248, ef: 334, reorder_k: 500} {dataCoord*segment*maxSize: 825, dataCoord*segment*sealProportion: 0.32, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12730, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1358} 110.15108095668256 418.62365017831326 4.47211785428226 223.60770278950804 0.9954 448
[54] 24053 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 501} {dataCoord*segment*maxSize: 636, dataCoord*segment*sealProportion: 0.27, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 14711, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 262} 122.41318885236979 344.49037355557084 5.03513696976006 198.6043291385682 0.9991 377
[55] 24512 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: False, queryCoord*autoBalance: True, common*gracefulTime: 22648, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1019} 118.72732817195356 431.89646260254085 3.4565537106245756 289.3055001362345 0.8959000000000001 459
[56] 25083 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 31, efConstruction: 290, ef: 325, reorder_k: 500} {dataCoord*segment*maxSize: 886, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5513, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 658} 113.77091767266393 541.924701789394 3.829138783738017 261.15532929934625 0.9941 570
