[1] 141 {index_type: FLAT, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 61.623547966592014 92.90518966689706 29.52281287778169 33.87211117517129 0.9995 141
[2] 307 {index_type: IVF_FLAT, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 58.93053538445383 142.690186672844 4.5230711521580815 221.088717457578 0.8816 166
[3] 445 {index_type: IVF_SQ8, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 65.37200645264238 115.46028963290155 2.9759503919631243 336.0271067355854 0.8681000000000001 137
[4] 612 {index_type: IVF_PQ, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 66.34589411597699 145.88365570269525 2.21218865737319 452.04101226494214 0.11830000000000002 167
[5] 856 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 58.70483291335404 219.95613561570644 4.969295119866729 201.23578412602288 0.9977999999999999 243
[6] 1130 {index_type: SCANN, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 63.805540699511766 252.90230601932853 2.3120791101828218 432.51115223342316 0.8815 274
[7] 1380 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 60.258880405686796 228.85975867230445 2.204723756760359 453.5715628471338 0.7455 250
[8] 1575 {index_type: FLAT, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9905, dataCoord*segment*sealProportion: 0.76, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 88183, dataNode*segment*insertBufSize: 7526631602, rootCoord*minSegmentSizeToEnableIndex: 7839} 61.304033257998526 144.82816037349403 30.480618964880705 32.80773271540793 0.9995 195
[9] 1750 {index_type: IVF_FLAT, nlist: 268, nprobe: 14, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2284, dataCoord*segment*sealProportion: 0.16, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 28844, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1137} 65.48932852037251 149.58604677207768 4.661821808665991 214.5084134578186 0.8991 174
[10] 1955 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.34, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 45222443, rootCoord*minSegmentSizeToEnableIndex: 843} 67.59751653950661 157.54953846987337 26.837317626923323 37.261548039242015 0.9828000000000001 205
[11] 2142 {index_type: IVF_PQ, nlist: 172, nprobe: 10, m: 10, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 211, dataCoord*segment*sealProportion: 0.17, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 363, dataNode*segment*insertBufSize: 2150608, rootCoord*minSegmentSizeToEnableIndex: 1114} 67.63642459455878 154.86171450093389 2.350823398679495 425.38286821618345 0.10250000000000001 186
[12] 2409 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 255, ef: 499, reorder_k: 500} {dataCoord*segment*maxSize: 1747, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 32416, dataNode*segment*insertBufSize: 26956741, rootCoord*minSegmentSizeToEnableIndex: 976} 66.46546067669988 238.26516337692738 3.66661237180233 272.73131124805764 0.9973 266
[13] 2611 {index_type: SCANN, nlist: 444, nprobe: 21, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 499} {dataCoord*segment*maxSize: 4411, dataCoord*segment*sealProportion: 0.18, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 25731, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1355} 65.40455012768507 177.5295865079388 2.258557215332985 442.76053456213526 0.9053000000000001 202
[14] 2848 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1916, dataCoord*segment*sealProportion: 0.17, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 55608, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2061} 66.40806097816676 212.66419774107635 2.259968471713364 442.4840490105881 0.7275 237
[15] 2994 {index_type: FLAT, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 3568, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 25373, dataNode*segment*insertBufSize: 13004444, rootCoord*minSegmentSizeToEnableIndex: 2071} 58.82705155853182 93.06617257930338 27.763438935391605 36.018592737272336 0.9995 145
[16] 3182 {index_type: IVF_FLAT, nlist: 553, nprobe: 29, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1570, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 34478, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1420} 57.014985208399594 155.33415567036718 4.775813611224294 209.38840612409226 0.9339000000000001 187
[17] 3377 {index_type: IVF_FLAT, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2421, dataCoord*segment*sealProportion: 0.2, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 34706, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 59.32699697371572 142.68659847881645 25.803971483372152 38.75372442743517 0.9997 195
[18] 3526 {index_type: IVF_SQ8, nlist: 446, nprobe: 11, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2137, dataCoord*segment*sealProportion: 0.2, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 23383, dataNode*segment*insertBufSize: 44673638, rootCoord*minSegmentSizeToEnableIndex: 2680} 62.27716173417866 122.91385993734002 2.574814840219915 388.3774415074406 0.7998 148
[19] 3677 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 8, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 389, dataCoord*segment*sealProportion: 0.37, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 3704, dataNode*segment*insertBufSize: 43559478, rootCoord*minSegmentSizeToEnableIndex: 407} 71.09872370027006 123.98223072756082 2.8962102541700006 345.2787996175993 0.0454 151
[20] 3963 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 34, efConstruction: 264, ef: 396, reorder_k: 500} {dataCoord*segment*maxSize: 3821, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 32302, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 201} 71.64399845059961 258.42511206958443 3.549327057786286 281.74354848654036 0.995 286
[21] 4162 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 314} {dataCoord*segment*maxSize: 3505, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 37203, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 488} 61.54938097111881 171.81953513994813 3.2948418194428086 303.50470669001953 0.9986 199
[22] 4435 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 3076, dataCoord*segment*sealProportion: 0.2, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 25288, dataNode*segment*insertBufSize: 2176472879, rootCoord*minSegmentSizeToEnableIndex: 456} 61.08432260528207 246.68081146012992 2.125659132376313 470.4423135246909 0.6911999999999999 272
[23] 4627 {index_type: IVF_FLAT, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 3776, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 18756, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 61.954477021470666 140.7449774388224 26.380175840109587 37.9072530092675 0.9994 192
[24] 4794 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1568, dataCoord*segment*sealProportion: 0.19, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 28843, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2033} 64.48253349307925 118.88391135632992 14.776197492145002 67.67641001899156 0.9804 166
[25] 4981 {index_type: IVF_PQ, nlist: 1089, nprobe: 5, m: 4, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2530, dataCoord*segment*sealProportion: 0.18, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 40210, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2292} 67.97924994956702 155.67079022806138 2.1685935920104384 461.12835696103383 0.0775 187
[26] 5269 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 36, efConstruction: 272, ef: 328, reorder_k: 500} {dataCoord*segment*maxSize: 2748, dataCoord*segment*sealProportion: 0.19, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 31170, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1960} 67.37537510506809 259.6195536023006 3.125124065205455 319.9872962273122 0.9947999999999999 287
[27] 5435 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1254, dataCoord*segment*sealProportion: 0.18, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 28707, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2639} 66.91754836775362 119.48342254664749 14.11600726749748 70.84156171430496 0.979 165
