[14] 7195 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1658, dataCoord*segment*sealProportion: 0.14, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6072, dataNode*segment*insertBufSize: 48004936, rootCoord*minSegmentSizeToEnableIndex: 1030} 125.39314399473369 419.19719970040023 2.3465460781008005 426.1582627047152 0.7239000000000001 448
[15] 7433 {index_type: FLAT, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1780, dataCoord*segment*sealProportion: 0.26, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5607, dataNode*segment*insertBufSize: 29447733, rootCoord*minSegmentSizeToEnableIndex: 1411} 128.3773777578026 169.95504533313215 43.72070974484086 22.872455772930405 0.9995 237
[16] 7790 {index_type: IVF_FLAT, nlist: 752, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1914, dataCoord*segment*sealProportion: 0.24, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 11174, dataNode*segment*insertBufSize: 75771599, rootCoord*minSegmentSizeToEnableIndex: 1375} 134.6548037007451 319.6445949692279 3.2188410852104425 310.67082018888226 0.6738000000000001 357
[17] 8150 {index_type: IVF_FLAT, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2186, dataCoord*segment*sealProportion: 0.08, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 1449, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1401} 136.601198265329 273.59257994405925 62.94065286964178 15.887982637725877 0.9993000000000001 359
[18] 8417 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2351, dataCoord*segment*sealProportion: 0.26, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 9424, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1872} 134.47763168625534 209.84999384731054 23.109316321089864 43.27259128334259 0.9790000000000001 266
[19] 8778 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 195, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 21612, dataNode*segment*insertBufSize: 142086929, rootCoord*minSegmentSizeToEnableIndex: 2122} 135.35220943950117 335.9367604646832 2.4921204559504986 401.2647131932467 0.075 361
[20] 9292 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 33, efConstruction: 258, ef: 593, reorder_k: 500} {dataCoord*segment*maxSize: 1723, dataCoord*segment*sealProportion: 0.22, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 56902479, rootCoord*minSegmentSizeToEnableIndex: 576} 137.58677502535284 464.57280343957245 26.783584574237466 37.336301913892356 0.9977 513
[21] 9712 {index_type: SCANN, nlist: 260, nprobe: 14, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 499} {dataCoord*segment*maxSize: 1179, dataCoord*segment*sealProportion: 0.17, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12671, dataNode*segment*insertBufSize: 15947605, rootCoord*minSegmentSizeToEnableIndex: 695} 136.91487324610353 395.11525196023285 2.6590463034808636 376.0746846307021 0.9133 420
[22] 10177 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2079, dataCoord*segment*sealProportion: 0.28, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 17132, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 126.23298609256744 440.82922349870205 2.2072106916457415 453.0605092594851 0.688 464
[23] 10543 {index_type: IVF_FLAT, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 347, dataCoord*segment*sealProportion: 0.18, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13784, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2790} 137.54176515340805 282.9402173291892 57.42616166174412 17.41366602020652 0.9995 366
