[1] 50 {index_type: FLAT, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 8.174125289544463 16.30197157897055 14.499492157250643 689.6793274928172 1.0 50
[2] 92 {index_type: IVF_FLAT, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 8.650340860709548 17.753801225684583 6.873242330737412 1454.917420164222 0.8227700000000001 42
[3] 137 {index_type: IVF_SQ8, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 7.93224341981113 17.53199062217027 8.137971119955182 1228.8075065146056 0.8156800000000001 44
[4] 181 {index_type: IVF_PQ, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 8.130759060382843 19.751272428780794 6.899710630066693 1449.336144101936 0.26669000000000004 44
[5] 231 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 8.255903897807002 23.916944621130824 8.71057051140815 1148.0304288798416 0.9953 50
[6] 275 {index_type: SCANN, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 7.891767852939665 18.512191307730973 6.631390291266143 1507.9794071494293 0.8256100000000001 43
[7] 321 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 8.118761228397489 19.748018371872604 6.99964580219239 1428.6437174960847 0.64362 45
[8] 369 {index_type: FLAT, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9905, dataCoord*segment*sealProportion: 0.76, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 88183, dataNode*segment*insertBufSize: 7526631602, rootCoord*minSegmentSizeToEnableIndex: 7839} 7.705183590762317 14.793116976507008 14.437072617933154 692.6611969505785 1.0 48
[9] 416 {index_type: IVF_FLAT, nlist: 1006, nprobe: 75, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9905, dataCoord*segment*sealProportion: 0.76, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 88183, dataNode*segment*insertBufSize: 7526631602, rootCoord*minSegmentSizeToEnableIndex: 7839} 7.85055173933506 20.50238821003586 7.204584492370486 1388.0050973917794 0.9153100000000001 46
[10] 463 {index_type: IVF_SQ8, nlist: 731, nprobe: 35, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 8963, dataCoord*segment*sealProportion: 0.91, queryCoord*autoHandoff: False, queryCoord*autoBalance: False, common*gracefulTime: 93849, dataNode*segment*insertBufSize: 9082454534, rootCoord*minSegmentSizeToEnableIndex: 8900} 8.063221298158169 19.693078289739788 7.991330762393773 1251.3560378527666 0.8591 47
[11] 514 {index_type: IVF_PQ, nlist: 2617, nprobe: 46, m: 10, nbits: 6, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 8834, dataCoord*segment*sealProportion: 0.77, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 91990, dataNode*segment*insertBufSize: 8066011860, rootCoord*minSegmentSizeToEnableIndex: 7593} 8.21118634287268 24.913959722965956 6.830408274196088 1464.0413279214938 0.26412 51
